"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 17, 2017","47,857.14","47,780.36","48,107.72","47,597.77","150.28M","0.23%"
"Nov 16, 2017","47,747.69","47,736.59","48,025.86","47,711.52","145.08M","0.12%"
"Nov 15, 2017","47,690.80","47,853.83","47,958.12","47,471.13","172.36M","-0.38%"
"Nov 14, 2017","47,873.65","47,999.61","48,044.60","47,659.14","162.42M","-0.27%"
"Nov 13, 2017","48,002.43","48,013.10","48,103.08","47,662.38","243.74M","-0.05%"
"Nov 10, 2017","48,028.30","48,659.33","48,717.36","47,972.79","208.18M","-1.41%"
"Nov 09, 2017","48,713.51","48,731.88","48,927.45","48,633.77","183.59M","-0.25%"
"Nov 08, 2017","48,835.69","49,001.94","49,058.84","48,806.56","122.87M","-0.34%"
"Nov 07, 2017","49,004.52","48,946.13","49,276.47","48,879.49","208.90M","0.08%"
"Nov 06, 2017","48,967.01","48,623.41","49,061.43","48,281.12","225.24M","0.89%"
"Nov 03, 2017","48,534.84","48,334.87","48,584.22","47,824.97","229.67M","0.41%"
"Nov 01, 2017","48,334.45","48,700.16","48,829.83","48,261.08","199.05M","-0.60%"
"Oct 31, 2017","48,625.53","48,929.26","48,958.84","48,579.68","169.39M","-0.47%"
"Oct 30, 2017","48,855.27","49,250.79","49,252.55","48,779.04","123.61M","-0.72%"
"Oct 27, 2017","49,209.58","49,011.64","49,327.32","48,829.74","214.60M","0.45%"
"Oct 26, 2017","48,986.84","49,004.30","49,388.76","48,954.30","236.54M","0.23%"
"Oct 25, 2017","48,876.46","50,166.47","50,166.47","48,804.03","287.23M","-2.55%"
"Oct 24, 2017","50,157.22","49,612.85","50,194.74","49,612.85","191.97M","1.23%"
"Oct 23, 2017","49,548.13","50,033.55","50,109.71","49,509.56","149.24M","-0.88%"
"Oct 20, 2017","49,988.71","50,207.87","50,582.62","49,896.63","240.92M","-0.02%"
"Oct 19, 2017","50,000.25","49,914.15","50,057.01","49,760.76","162.69M","0.12%"
"Oct 18, 2017","49,938.98","50,112.50","50,135.82","49,887.18","200.52M","-0.40%"
"Oct 17, 2017","50,140.52","49,760.79","50,208.42","49,544.89","311.21M","0.84%"
"Oct 16, 2017","49,721.01","50,029.82","50,230.04","49,673.22","204.50M","-0.52%"
"Oct 13, 2017","49,981.94","50,040.40","50,224.98","49,914.96","218.95M","0.04%"
"Oct 12, 2017","49,962.79","50,148.62","50,306.08","49,858.26","223.71M","-0.35%"
"Oct 11, 2017","50,139.68","50,011.50","50,257.65","49,904.88","214.34M","0.31%"
"Oct 10, 2017","49,982.94","50,141.12","50,230.44","49,888.40","180.84M","-0.18%"
"Oct 09, 2017","50,071.94","50,584.27","50,584.27","49,980.51","136.88M","-0.46%"
"Oct 06, 2017","50,302.96","50,513.17","50,616.65","50,257.55","133.53M","-0.35%"
"Oct 05, 2017","50,480.92","50,631.36","50,909.48","50,425.09","148.57M","-0.17%"
"Oct 04, 2017","50,565.29","50,653.53","50,750.30","50,511.04","118.43M","-0.10%"
"Oct 03, 2017","50,615.29","50,593.54","50,741.49","50,453.76","126.89M","0.23%"
"Oct 02, 2017","50,501.16","50,499.17","50,629.16","50,350.87","127.55M","0.31%"
"Sep 29, 2017","50,346.06","50,064.82","50,605.60","50,064.82","154.23M","0.42%"
"Sep 28, 2017","50,137.00","50,063.83","50,228.13","49,920.21","160.20M","-0.06%"
"Sep 27, 2017","50,169.13","50,336.32","50,549.79","49,778.80","173.00M","-0.38%"
